Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_GW,Vph1_Num_wells_GW,Vph1_penetrance_GW,Vph1_class E_GW,Vph1_class G_GW,Vph1_enlarged_GW,Vph1_fragmented_GW,Vph1_multilobed_GW,Vph1_V-ATPase defect_GW,Vph1_WT_GW,Vph1_none_GW,Snf7_Num_cells_GW,Snf7_Num_wells_GW,Snf7_penetrance_GW,Snf7_condensed_GW,Snf7_fragmented_GW,Snf7_membrane_GW,Snf7_WT_GW,Snf7_none_GW,Sla1_Num_cells_GW,Sla1_Num_wells_GW,Sla1_penetrance_GW,Sla1_aggregate_GW,Sla1_decreased patch number_GW,Sla1_depolarized patches_GW,Sla1_increased patch number_GW,Sla1_WT_GW,Sla1_none_GW,Sac6_Num_cells_GW,Sac6_Num_wells_GW,Sac6_penetrance_GW,Sac6_aggregate_GW,Sac6_bright patches_GW,Sac6_decreased patch number_GW,Sac6_depolarized patches_GW,Sac6_WT_GW,Sac6_none_GW
YER141W,COX15,,DMA-SLOW151,,220,1,4.1,0.014,0.009,0,0.005,0.014,0,0.959,0,292,2,18.8,0.041,0.034,0.082,0.812,0.031,209,1,16.3,0.029,0.091,0.029,0.01,0.837,0.005,203,1,15.8,0.025,0.01,0.049,0.074,0.842,0
YER122C,GLO3,,DMA-SLOW152,,686,3,11.4,0.017,0.001,0.003,0.035,0.051,0.006,0.886,0,,,,,,,,,52,1,21.2,0.038,0.058,0.058,0.038,0.788,0.019,51,1,29.4,0.02,0.098,0.078,0.098,0.706,0
YER110C,KAP123,,DMA-SLOW153,,,,,,,,,,,,,6,1,66.7,0.333,0.167,0.167,0.333,0,,,,,,,,,,,,,,,,,,
YER103W,SSA4,,DMA-SLOW154,,276,1,5.4,0.004,0,0,0.018,0.033,0,0.946,0,615,3,22.8,0.12,0.055,0.031,0.772,0.021,116,1,19.8,0.026,0.129,0.034,0.009,0.802,0,111,1,14.4,0,0.009,0.054,0.081,0.856,0
YER087W,AIM10,,DMA-SLOW155,,247,1,8.5,0,0.012,0,0.012,0.04,0.02,0.915,0,,,,,,,,,,,,,,,,,,,,,,,,,,
YER086W,ILV1,,DMA-SLOW156,,277,2,17.3,0.025,0.011,0.029,0.014,0.083,0.011,0.827,0,443,4,32.5,0.14,0.041,0.095,0.675,0.05,91,2,67,0.033,0.626,0,0.011,0.33,0,,,,,,,,,
YGL246C,RAI1,,DMA-SLOW157,,364,5,12.1,0.008,0,0.016,0.025,0.055,0.016,0.879,0,167,2,54.5,0.21,0.024,0.246,0.455,0.066,526,7,17.9,0.04,0.049,0.046,0.036,0.821,0.008,39,2,46.2,0.051,0.205,0,0.205,0.538,0
YGL240W,DOC1,,DMA-SLOW158,,266,5,22.9,0.011,0.004,0.015,0.071,0.113,0.015,0.771,0,82,4,42.7,0.098,0.232,0.061,0.573,0.037,70,3,27.1,0.014,0.086,0.071,0.086,0.729,0.014,27,1,25.9,0.074,0,0.148,0.037,0.741,0
YGL223C,COG1,,DMA-SLOW159,,,,,,,,,,,,,232,1,42.2,0.297,0.009,0.082,0.578,0.034,,,,,,,,,,,,,,,,,,
YBR021W,FUR4,,DMA-SLOW16,,350,1,11.4,0.017,0,0,0.017,0.08,0,0.886,0,235,2,30.2,0.026,0.026,0.17,0.698,0.081,,,,,,,,,,,,,,,,,,
YGL220W,FRA2,,DMA-SLOW160,,115,1,3.5,0,0,0,0.009,0.026,0,0.965,0,334,2,26.9,0.135,0.054,0.063,0.731,0.018,263,1,16,0.027,0.11,0.015,0.008,0.84,0,236,1,13.6,0.013,0.008,0.081,0.034,0.864,0
YGL200C,EMP24,,DMA-SLOW162,,167,3,18.6,0.012,0.012,0.012,0.048,0.084,0.018,0.814,0,29,1,100,0.897,0,0.069,0,0.034,160,2,25,0.138,0.05,0.025,0.038,0.75,0,,,,,,,,,
YGL143C,MRF1,,DMA-SLOW163,,112,1,8,0,0,0,0.036,0.045,0,0.92,0,128,2,21.9,0.141,0.047,0.016,0.781,0.016,81,1,11.1,0.012,0.074,0.012,0.012,0.889,0,74,1,21.6,0.041,0.014,0.054,0.108,0.784,0
YGL135W,RPL1B,,DMA-SLOW164,,58,1,31,0.017,0,0,0.086,0.121,0.086,0.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL129C,RSM23,,DMA-SLOW165,,38,1,5.3,0.026,0,0,0,0.026,0,0.947,0,75,2,25.3,0.067,0.107,0.067,0.747,0.013,82,1,12.2,0.024,0.061,0.024,0.012,0.878,0,73,1,12.3,0.027,0.014,0.027,0.055,0.877,0
YGL107C,RMD9,,DMA-SLOW166,,326,2,7.1,0.009,0.009,0,0.012,0.031,0.009,0.929,0,235,3,26.8,0.111,0.072,0.03,0.732,0.055,26,1,19.2,0.115,0.077,0,0,0.808,0,23,1,17.4,0,0,0.087,0.087,0.826,0
YGL072C,,,DMA-SLOW167,,512,3,16.4,0.021,0.012,0.02,0.027,0.063,0.021,0.836,0,420,3,16.9,0.081,0.021,0.038,0.831,0.029,233,2,61.4,0.133,0.442,0,0.021,0.386,0.017,,,,,,,,,
YGL070C,RPB9,,DMA-SLOW168,,123,1,22.8,0,0.008,0.13,0.057,0.008,0.024,0.772,0,76,2,40.8,0.105,0.066,0.171,0.592,0.066,20,1,50,0.25,0.15,0,0.1,0.5,0,21,1,28.6,0,0,0.19,0.095,0.714,0
YGR160W,,,DMA-SLOW169,,23,1,21.7,0.043,0,0,0,0.174,0,0.783,0,29,2,31,0.103,0.103,0.103,0.69,0,26,1,15.4,0.038,0,0.038,0.077,0.846,0,20,1,20,0,0.2,0,0,0.8,0
YBR003W,COQ1,,DMA-SLOW17,,670,3,13.1,0.043,0.006,0.004,0.025,0.052,0,0.869,0,1144,4,25,0.072,0.079,0.055,0.75,0.045,798,3,22.1,0.039,0.127,0.02,0.029,0.779,0.006,104,1,17.3,0,0,0.106,0.067,0.827,0
YGR159C,NSR1,,DMA-SLOW170,,67,1,41.8,0.03,0,0.134,0.119,0.119,0.015,0.582,0,23,2,26.1,0.043,0,0.174,0.739,0.043,105,5,36.2,0.067,0.038,0.152,0.086,0.638,0.019,25,2,64,0.04,0.52,0,0.08,0.36,0
YGR150C,CCM1,,DMA-SLOW171,,74,2,16.2,0,0,0.054,0.014,0.095,0,0.838,0,406,2,25.6,0.067,0.025,0.118,0.744,0.047,,,,,,,,,,,,,,,,,,
YGR104C,SRB5,,DMA-SLOW172,,54,2,31.5,0.019,0,0,0.056,0.148,0.093,0.685,0,11,1,72.7,0.636,0.091,0,0.273,0,33,3,57.6,0.152,0.121,0.152,0.121,0.424,0.03,6,1,100,0.167,0,0.5,0.167,0,0.167
YGR102C,GTF1,,DMA-SLOW173,,314,2,7.6,0.022,0,0.013,0.025,0.013,0.003,0.924,0,26,1,23.1,0.154,0.038,0.038,0.769,0,,,,,,,,,,,,,,,,,,
YGR076C,MRPL25,,DMA-SLOW174,,206,1,9.2,0,0.005,0,0.024,0.058,0.005,0.908,0,355,2,23.7,0.079,0.051,0.07,0.763,0.037,328,1,14.6,0.015,0.034,0.067,0.024,0.854,0.006,313,1,14.1,0.016,0.01,0.038,0.073,0.859,0.003
YGR064W,,,DMA-SLOW175,,,,,,,,,,,,,35,1,80,0.057,0.143,0.514,0.2,0.086,31,1,41.9,0.129,0.097,0.194,0,0.581,0,,,,,,,,,
YGR063C,SPT4,,DMA-SLOW176,,181,1,16,0.006,0.039,0,0.028,0.066,0.022,0.84,0,56,1,30.4,0.179,0.018,0.089,0.696,0.018,,,,,,,,,,,,,,,,,,
YGR062C,COX18,,DMA-SLOW177,,348,2,8.3,0,0.006,0.006,0.02,0.046,0.003,0.917,0.003,365,4,23.6,0.104,0.063,0.036,0.764,0.033,259,1,15.8,0.042,0.027,0.046,0.035,0.842,0.008,239,1,16.3,0.029,0.017,0.021,0.096,0.837,0
YGR036C,CAX4,,DMA-SLOW178,,18,1,44.4,0.056,0.056,0,0.056,0.278,0,0.556,0,74,1,37.8,0.311,0,0.041,0.622,0.027,15,1,53.3,0.2,0,0.067,0.2,0.467,0.067,,,,,,,,,
YGR020C,VMA7,,DMA-SLOW179,,370,3,83.2,0,0,0.038,0.368,0.062,0.365,0.168,0,,,,,,,,,182,2,37.4,0.115,0.099,0.022,0.126,0.626,0.011,,,,,,,,,
YBL099W,ATP1,,DMA-SLOW18,,40,1,7.5,0,0,0,0.025,0,0.05,0.925,0,,,,,,,,,,,,,,,,,,,,,,,,,,
YGR006W,PRP18,,DMA-SLOW180,,473,6,24.5,0.051,0.017,0.023,0.055,0.07,0.03,0.755,0,318,3,32.7,0.173,0.069,0.057,0.673,0.028,55,1,20,0.055,0.109,0.018,0.018,0.8,0,,,,,,,,,
YGR262C,BUD32,,DMA-SLOW181,,15,1,26.7,0,0,0,0.133,0.067,0.067,0.733,0,,,,,,,,,,,,,,,,,,,,,,,,,,
