Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YBL035C,POL12,pol12-ts,TSA365,RT,1446,2,11.2,0.009,0.01,0.006,0.032,0.052,0.003,0.888,0,152,2,21.7,0.099,0.105,0.007,0.783,0.007,803,2,40.3,0.035,0.227,0.118,0.014,0.597,0.01,614,2,16.3,0.01,0.041,0.044,0.062,0.837,0.007
YBR055C,PRP6,prp6-ts,TSA367,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR055C,PRP6,prp6-ts,TSA367,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL116W,CDC20,cdc20-3,TSA368,37,1272,2,43.7,0.032,0.017,0.001,0.013,0.37,0.004,0.563,0,369,2,27.4,0.008,0.23,0.024,0.726,0.011,1497,2,67.8,0.005,0.11,0.554,0.001,0.322,0.007,1078,2,57.1,0.089,0.024,0.048,0.39,0.429,0.019
YGL116W,CDC20,cdc20-3,TSA368,RT,1654,2,23.6,0.011,0.036,0.001,0.059,0.128,0.002,0.764,0,265,2,34.3,0.026,0.287,0.026,0.657,0.004,1272,2,45.8,0.015,0.222,0.192,0.02,0.542,0.009,1050,2,31.1,0.018,0.019,0.086,0.177,0.689,0.011
YDL043C,PRP11,prp11-ts,TSA369,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL043C,PRP11,prp11-ts,TSA369,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL064W,UBC9,ubc9-2,TSA370,37,2067,2,11.1,0.015,0.019,0.001,0.014,0.06,0.001,0.889,0,541,2,18.9,0.057,0.087,0.024,0.811,0.02,1924,2,34.8,0.017,0.099,0.214,0.009,0.652,0.008,1521,2,43,0.032,0.034,0.106,0.245,0.57,0.013
YDL064W,UBC9,ubc9-2,TSA370,RT,832,1,11.8,0.012,0.011,0.007,0.026,0.06,0.001,0.882,0,329,2,20.1,0.055,0.088,0.043,0.799,0.015,1158,2,27.3,0.021,0.085,0.147,0.013,0.727,0.007,889,2,18.1,0.006,0.021,0.043,0.107,0.819,0.004
YDR331W,GPI8,gpi8-ts,TSA371,37,68,2,39.7,0.015,0,0,0.088,0.206,0.088,0.603,0,,,,,,,,,1452,2,34,0.029,0.039,0.227,0.035,0.66,0.01,81,2,84,0.198,0.136,0.012,0.494,0.16,0
YDR331W,GPI8,gpi8-ts,TSA371,RT,43,1,53.5,0.047,0,0,0.14,0.279,0.07,0.465,0,16,1,75,0,0.563,0.125,0.25,0.063,960,2,26.5,0.031,0.074,0.132,0.021,0.735,0.006,66,2,84.8,0.227,0.121,0.045,0.439,0.152,0.015
YIL068C,SEC6,sec6-4,TSA38,37,1466,2,65.6,0.035,0.368,0,0.114,0.127,0.012,0.344,0.001,694,2,76.1,0.014,0.702,0.032,0.239,0.013,1469,2,96,0.006,0.729,0.218,0.002,0.04,0.005,1465,3,95.3,0.052,0.018,0.03,0.843,0.047,0.01
YIL068C,SEC6,sec6-4,TSA38,RT,1806,2,6.2,0.006,0.012,0.003,0.024,0.016,0.001,0.938,0,539,2,22.4,0.028,0.135,0.032,0.776,0.03,1799,2,27.5,0.029,0.11,0.116,0.013,0.725,0.007,1330,3,17.4,0.005,0.033,0.055,0.077,0.826,0.004
YKL203C,TOR2,tor2-21,TSA398,37,773,2,28.3,0.012,0.006,0.006,0.039,0.173,0.047,0.717,0,443,2,24.6,0.088,0.088,0.059,0.754,0.011,1004,2,68.3,0.089,0.01,0.222,0.358,0.317,0.005,744,2,78.8,0.105,0.121,0.02,0.531,0.212,0.011
YKL203C,TOR2,tor2-21,TSA398,RT,592,2,15.7,0.02,0.003,0.027,0.017,0.083,0.007,0.843,0,260,2,21.2,0.073,0.096,0.038,0.788,0.004,707,2,44,0.057,0.028,0.153,0.194,0.56,0.008,687,2,41.9,0.033,0.083,0.029,0.265,0.581,0.009
YDR373W,FRQ1,frq1-1,TSA399,37,1128,2,44.9,0.004,0.133,0,0.161,0.151,0,0.551,0,478,2,69.7,0.008,0.646,0.023,0.303,0.019,784,2,69.9,0.084,0.04,0.545,0.026,0.301,0.005,417,3,92.3,0.043,0.031,0.017,0.801,0.077,0.031
YDR373W,FRQ1,frq1-1,TSA399,RT,860,2,45.6,0.001,0.02,0,0.3,0.129,0.006,0.544,0,258,2,30.6,0.116,0.147,0.027,0.694,0.016,678,2,19.9,0.034,0.044,0.086,0.028,0.801,0.007,231,2,25.1,0.013,0.035,0.043,0.139,0.749,0.022
YGL233W,SEC15,sec15-1,TSA40,37,2078,2,31.4,0.026,0.097,0,0.102,0.089,0.001,0.686,0,725,2,55.4,0.025,0.479,0.034,0.446,0.017,1770,2,57,0.016,0.182,0.362,0.003,0.43,0.006,1643,2,66.6,0.046,0.026,0.138,0.441,0.334,0.016
YGL233W,SEC15,sec15-1,TSA40,RT,912,1,18.2,0.004,0.031,0.001,0.101,0.045,0,0.818,0,437,2,35.7,0.025,0.275,0.039,0.643,0.018,1168,2,21.7,0.022,0.087,0.094,0.013,0.783,0.001,947,2,22.6,0.004,0.038,0.053,0.127,0.774,0.004
YGR091W,PRP31,prp31-ts,TSA400,37,2455,2,31.2,0.007,0.016,0.098,0.156,0.025,0.009,0.688,0.001,727,2,38.7,0.017,0.316,0.029,0.613,0.025,1484,2,50.6,0.051,0.024,0.12,0.299,0.494,0.011,1870,2,10.7,0.002,0.01,0.057,0.034,0.893,0.005
YGR091W,PRP31,prp31-ts,TSA400,RT,2644,2,11.7,0.005,0.013,0.052,0.037,0.009,0.002,0.883,0,525,2,24.8,0.091,0.124,0.017,0.752,0.015,1182,2,24.2,0.04,0.081,0.084,0.029,0.758,0.008,806,2,14.5,0.005,0.057,0.022,0.055,0.855,0.006
YJL203W,PRP21,prp21-ts,TSA401,37,1535,2,37.4,0.009,0.029,0.115,0.174,0.013,0.033,0.626,0.001,437,2,34.6,0.041,0.222,0.057,0.654,0.025,1292,2,70.1,0.038,0.034,0.163,0.456,0.299,0.01,1167,2,23.7,0,0.015,0.111,0.101,0.763,0.009
YJL203W,PRP21,prp21-ts,TSA401,RT,1383,2,24.2,0.002,0.01,0.151,0.064,0.01,0.005,0.758,0,317,2,33.1,0.057,0.177,0.066,0.669,0.032,1189,2,19.7,0.034,0.079,0.049,0.029,0.803,0.006,694,2,12.4,0.006,0.049,0.035,0.032,0.876,0.003
YMR268C,PRP24,prp24-ts,TSA402,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR268C,PRP24,prp24-ts,TSA402,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR274W,MCM5,cdc46-1,TSA403,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR274W,MCM5,cdc46-1,TSA403,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFR052W,RPN12,rpn12-1,TSA405,37,961,2,20.6,0.044,0.018,0.003,0.037,0.104,0,0.794,0,116,2,19,0.069,0.103,0.017,0.81,0,324,2,58.3,0.006,0.127,0.432,0.012,0.417,0.006,1283,2,35.9,0.011,0.015,0.066,0.259,0.641,0.009
YFR052W,RPN12,rpn12-1,TSA405,RT,558,2,18.5,0.009,0.004,0.079,0.05,0.039,0.004,0.815,0,82,2,18.3,0.134,0.037,0.012,0.817,0,178,2,41.6,0.017,0.174,0.208,0.017,0.584,0,860,2,23.5,0.021,0.033,0.057,0.119,0.765,0.006
YDL102W,POL3,cdc2-1,TSA406,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL102W,POL3,cdc2-1,TSA406,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJR057W,CDC8,cdc8-1,TSA407,37,,,,,,,,,,,,,,,,,,,,37,2,64.9,0.081,0.216,0.27,0.081,0.351,0,,,,,,,,,
YJR057W,CDC8,cdc8-1,TSA407,RT,16,1,56.3,0,0,0,0,0.438,0.125,0.438,0,,,,,,,,,33,2,60.6,0.152,0.061,0.394,0,0.394,0,,,,,,,,,
YAL041W,CDC24,cdc24-1,TSA408,37,1130,2,59.7,0.012,0.011,0,0.026,0.542,0.007,0.403,0,177,2,26,0.051,0.175,0.023,0.74,0.011,1344,2,69.6,0.009,0.025,0.635,0.019,0.304,0.008,700,2,67,0.004,0.01,0,0.653,0.33,0.003
YAL041W,CDC24,cdc24-1,TSA408,RT,757,2,14.5,0.015,0.013,0.007,0.021,0.075,0.015,0.855,0,100,2,34,0.09,0.21,0.03,0.66,0.01,694,2,30.8,0.052,0.085,0.053,0.108,0.692,0.01,397,2,17.6,0.003,0.068,0.02,0.083,0.824,0.003
YER157W,COG3,cog3-1,TSA41,37,647,2,24,0.012,0.127,0,0.042,0.057,0.002,0.76,0,,,,,,,,,296,2,76.7,0.135,0.22,0.395,0,0.233,0.017,417,2,40.8,0.108,0.074,0.046,0.161,0.592,0.019
YER157W,COG3,cog3-1,TSA41,RT,377,2,22.8,0.003,0.011,0,0.103,0.101,0.011,0.772,0,,,,,,,,,259,2,30.1,0.035,0.127,0.108,0.031,0.699,0,288,2,34.7,0.024,0.042,0.118,0.153,0.653,0.01
YAL041W,CDC24,cdc24-2,TSA410,37,2323,2,21.3,0.007,0.003,0,0.01,0.189,0.003,0.787,0,1244,2,12.4,0.031,0.068,0.018,0.876,0.006,1688,2,47.3,0.03,0.068,0.355,0.012,0.527,0.009,1408,3,33.5,0.083,0.033,0.077,0.129,0.665,0.013
YAL041W,CDC24,cdc24-2,TSA410,RT,2064,2,8.4,0.005,0.015,0.004,0.029,0.031,0,0.916,0,621,2,20.3,0.047,0.093,0.037,0.797,0.026,1665,2,32.4,0.031,0.135,0.144,0.009,0.676,0.005,877,1,27.8,0.013,0.029,0.07,0.16,0.722,0.008
YAL041W,CDC24,cdc24-3,TSA412,37,2776,2,10.1,0.003,0.005,0.006,0.018,0.064,0.004,0.899,0,452,2,17.9,0.04,0.106,0.022,0.821,0.011,2124,2,34.9,0.032,0.07,0.224,0.014,0.651,0.01,2228,2,37.6,0.014,0.013,0.022,0.318,0.624,0.009
YAL041W,CDC24,cdc24-3,TSA412,RT,941,1,8.2,0.014,0.016,0.002,0.02,0.03,0,0.918,0,307,2,26.7,0.055,0.166,0.026,0.733,0.02,1171,2,24.7,0.032,0.094,0.101,0.011,0.753,0.009,1765,2,17.9,0.011,0.032,0.052,0.078,0.821,0.007
YDR182W,CDC1,cdc1-2,TSA413,37,2430,2,26.2,0.013,0.082,0.002,0.076,0.087,0.002,0.738,0,481,2,23.9,0.027,0.195,0.01,0.761,0.006,1434,2,55.2,0.029,0.015,0.455,0.047,0.448,0.006,2063,2,46.7,0.056,0.054,0.059,0.279,0.533,0.019
YDR182W,CDC1,cdc1-2,TSA413,RT,1165,1,7,0.008,0.014,0.001,0.012,0.035,0,0.93,0,263,2,21.7,0.03,0.156,0.015,0.783,0.015,1142,2,25.6,0.026,0.091,0.117,0.011,0.744,0.01,1552,2,18.4,0.007,0.024,0.068,0.08,0.816,0.005
YDR182W,CDC1,cdc1-6,TSA414,37,1218,2,19.4,0.018,0.045,0,0.062,0.065,0.002,0.806,0.001,293,2,39.6,0.304,0.065,0.024,0.604,0.003,385,2,48.1,0.075,0.044,0.317,0.026,0.519,0.018,1337,2,23.7,0.031,0.064,0.037,0.096,0.763,0.008
YDR182W,CDC1,cdc1-6,TSA414,RT,481,1,17.7,0.019,0.037,0.015,0.067,0.04,0,0.823,0,207,2,52.7,0.391,0.116,0.019,0.473,0,322,2,40.4,0.059,0.037,0.248,0.05,0.596,0.009,638,2,26.5,0.017,0.049,0.05,0.143,0.735,0.006
YFL009W,CDC4,cdc4-2,TSA415,37,2012,2,18.8,0.013,0.01,0.014,0.03,0.116,0.005,0.812,0,411,2,38.4,0.156,0.134,0.08,0.616,0.015,1459,2,53.5,0.009,0.166,0.34,0.009,0.465,0.012,1431,2,59.5,0.016,0.01,0.106,0.449,0.405,0.013
YFL009W,CDC4,cdc4-2,TSA415,RT,1215,2,17.9,0.013,0.008,0.012,0.028,0.118,0.001,0.821,0,204,2,27.5,0.025,0.176,0.049,0.725,0.025,835,2,34.9,0.025,0.113,0.196,0.008,0.651,0.006,896,2,30.8,0.017,0.021,0.079,0.183,0.692,0.008
YFR028C,CDC14,cdc14-2,TSA416,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFR028C,CDC14,cdc14-2,TSA416,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL116W,CDC20,cdc20-2,TSA417,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL116W,CDC20,cdc20-2,TSA417,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL258C,DSL1,dsl1-dc30,TSA418,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL228W,CET1,cet1-2,TSA419,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL228W,CET1,cet1-2,TSA419,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL041W,CDC24,cdc24-h,TSA42,37,2104,2,50.1,0.002,0.013,0.003,0.026,0.451,0.006,0.499,0,430,2,15.1,0.03,0.102,0.019,0.849,0,1277,2,35.9,0.038,0.104,0.208,0.003,0.641,0.005,909,2,33.4,0.047,0.017,0.055,0.199,0.666,0.017
YAL041W,CDC24,cdc24-h,TSA42,RT,1716,2,9,0.007,0.009,0.001,0.021,0.051,0.001,0.91,0,403,2,25.8,0.077,0.124,0.035,0.742,0.022,694,2,25.6,0.05,0.091,0.098,0.013,0.744,0.004,668,2,17.5,0.007,0.07,0.036,0.055,0.825,0.006
YPL228W,CET1,cet1-15,TSA420,37,2701,2,12,0.019,0.023,0,0.033,0.043,0.002,0.88,0,736,2,10.1,0.039,0.049,0.005,0.899,0.007,1862,2,63.2,0.017,0.141,0.449,0.017,0.368,0.008,2313,2,59,0.016,0.01,0.181,0.37,0.41,0.013
YPL228W,CET1,cet1-15,TSA420,RT,1636,2,6.6,0.006,0.013,0.001,0.019,0.026,0.001,0.934,0,419,2,21.5,0.129,0.05,0.029,0.785,0.007,1191,2,50,0.023,0.154,0.307,0.009,0.5,0.008,1312,2,44.1,0.017,0.003,0.149,0.261,0.559,0.01
YMR013C,SEC59,sec59-ts,TSA422,37,1956,2,22.6,0.053,0.046,0.004,0.034,0.085,0.005,0.774,0.001,476,2,27.3,0.038,0.208,0.011,0.727,0.017,1451,2,61.3,0.034,0.071,0.484,0.014,0.387,0.01,1509,2,52.9,0.036,0.03,0.062,0.376,0.471,0.025
YMR013C,SEC59,sec59-ts,TSA422,RT,1412,2,9.3,0.007,0.03,0.003,0.026,0.028,0,0.907,0,310,2,22.3,0.035,0.119,0.042,0.777,0.026,1086,2,27.2,0.029,0.092,0.134,0.006,0.728,0.009,883,2,17.6,0.007,0.042,0.053,0.069,0.824,0.005
YGL073W,HSF1,hsf1-848,TSA423,37,1225,2,19.3,0.022,0.017,0.03,0.042,0.077,0.004,0.807,0,674,2,16.6,0.053,0.076,0.021,0.834,0.016,1256,2,24.8,0.024,0.062,0.122,0.035,0.752,0.005,952,2,37.1,0.011,0.02,0.091,0.242,0.629,0.007
YGL073W,HSF1,hsf1-848,TSA423,RT,559,1,22,0.014,0,0.154,0.027,0.02,0.004,0.78,0.002,540,2,23,0.069,0.133,0.019,0.77,0.009,930,2,24.9,0.017,0.132,0.075,0.018,0.751,0.006,630,2,18.7,0,0.013,0.051,0.119,0.813,0.005
YNL261W,ORC5,orc5-70,TSA424,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL261W,ORC5,orc5-70,TSA424,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKR083C,DAD2,dad2-9,TSA425,37,2132,2,17.5,0.023,0.007,0.016,0.024,0.103,0.003,0.825,0,931,2,19.7,0.074,0.113,0.004,0.803,0.005,1704,2,55.5,0.012,0.188,0.344,0.005,0.445,0.006,2751,3,48.7,0.016,0.035,0.051,0.372,0.513,0.013
YKR083C,DAD2,dad2-9,TSA425,RT,1662,2,17.9,0.013,0.02,0.008,0.04,0.094,0.004,0.821,0,482,2,22,0.095,0.1,0.01,0.78,0.015,1316,2,36.6,0.017,0.171,0.166,0.008,0.634,0.004,1647,3,26.8,0.019,0.029,0.086,0.13,0.732,0.004
YMR277W,FCP1,fcp1-1,TSA426,37,2282,2,25.3,0.02,0.154,0,0.023,0.052,0.005,0.747,0,889,2,27.7,0.018,0.213,0.029,0.723,0.017,1453,2,90.4,0.012,0.259,0.631,0,0.096,0.002,2220,3,75.7,0.027,0.011,0.304,0.408,0.243,0.007
YMR277W,FCP1,fcp1-1,TSA426,RT,1713,2,9.1,0.009,0.009,0.004,0.025,0.043,0.001,0.909,0,510,2,24.9,0.02,0.173,0.025,0.751,0.031,955,2,44.5,0.043,0.146,0.234,0.013,0.555,0.01,1148,3,29.7,0.022,0.028,0.084,0.159,0.703,0.004
YOR057W,SGT1,sgt1-5,TSA427,37,225,2,18.7,0.049,0.004,0,0.027,0.08,0.027,0.813,0,527,2,35.9,0.072,0.231,0.038,0.641,0.017,338,2,57.7,0.038,0.059,0.417,0.05,0.423,0.012,346,2,87.9,0.087,0.017,0.101,0.665,0.121,0.009
YOR057W,SGT1,sgt1-5,TSA427,RT,327,2,16.8,0.034,0.003,0.024,0.034,0.052,0.021,0.832,0,443,2,22.8,0.079,0.115,0.016,0.772,0.018,352,2,41.8,0.043,0.026,0.256,0.071,0.582,0.023,331,2,74.3,0.054,0.009,0.088,0.586,0.257,0.006
YPL252C,YAH1,yah1-ts,TSA428,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL252C,YAH1,yah1-ts,TSA428,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR122C,PFY1,pfy1-14,TSA429,37,1105,2,31.8,0.015,0.004,0.003,0.017,0.253,0.024,0.682,0.001,60,2,73.3,0.317,0.167,0.217,0.267,0.033,680,2,47.1,0.038,0.046,0.331,0.047,0.529,0.009,683,2,37.3,0.012,0.119,0.018,0.217,0.627,0.009
YOR122C,PFY1,pfy1-14,TSA429,RT,464,1,24.4,0.019,0.002,0.015,0.013,0.179,0.015,0.756,0,26,1,38.5,0.038,0.231,0.077,0.615,0.038,522,2,32.8,0.054,0.042,0.161,0.069,0.672,0.002,480,2,30.8,0.004,0.094,0.01,0.196,0.692,0.004
YER008C,SEC3,sec3-2,TSA43,37,2813,2,16.1,0.009,0.024,0.001,0.039,0.086,0.002,0.839,0,1669,2,64.2,0.021,0.565,0.034,0.358,0.022,770,1,60.4,0.023,0.151,0.418,0.009,0.396,0.003,1243,3,60.1,0.023,0.019,0.099,0.441,0.399,0.02
YER008C,SEC3,sec3-2,TSA43,RT,1987,2,10.2,0.007,0.019,0.001,0.033,0.043,0,0.898,0,792,2,19.7,0.03,0.128,0.021,0.803,0.018,1142,2,29.1,0.033,0.093,0.149,0.009,0.709,0.007,573,2,18.8,0.009,0.037,0.065,0.075,0.812,0.003
YGR006W,PRP18,prp18-1202,TSA430,37,737,2,57.3,0.009,0.016,0.042,0.309,0.004,0.189,0.427,0.003,277,2,45.1,0.144,0.249,0.036,0.549,0.022,679,2,75,0.021,0.096,0.515,0.108,0.25,0.01,999,2,39.6,0.001,0.01,0.094,0.285,0.604,0.006
YGR006W,PRP18,prp18-1202,TSA430,RT,187,1,75.4,0.005,0.005,0.203,0.294,0.011,0.235,0.246,0,215,2,40,0.209,0.153,0.023,0.6,0.014,616,2,35.6,0.044,0.083,0.2,0.018,0.644,0.011,642,2,14.8,0.006,0.048,0.034,0.056,0.852,0.003
YJL050W,MTR4,mtr4-1,TSA431,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJL050W,MTR4,mtr4-1,TSA431,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR272C,YCS4,ycs4-1,TSA432,37,1526,2,17.6,0.02,0.024,0,0.034,0.096,0.002,0.824,0,443,2,23.3,0.027,0.153,0.038,0.767,0.014,1084,2,41,0.025,0.077,0.294,0.01,0.59,0.003,1396,2,46.2,0.019,0.013,0.084,0.334,0.538,0.012
YLR272C,YCS4,ycs4-1,TSA432,RT,613,1,14.2,0.005,0.005,0.01,0.052,0.064,0.007,0.858,0,246,2,37,0.061,0.248,0.049,0.63,0.012,706,2,32.9,0.034,0.088,0.176,0.028,0.671,0.003,678,2,35.8,0.013,0.031,0.09,0.221,0.642,0.003
YGR006W,PRP18,prp18-ts,TSA434,37,909,2,20,0.008,0.008,0.023,0.103,0.007,0.052,0.8,0,450,2,54.2,0.04,0.376,0.08,0.458,0.047,878,2,55.4,0.054,0.087,0.285,0.115,0.446,0.014,1241,2,28.6,0.002,0.006,0.076,0.194,0.714,0.008
YGR006W,PRP18,prp18-ts,TSA434,RT,601,1,57.1,0.008,0,0.321,0.173,0.002,0.065,0.429,0.002,303,2,27.7,0.05,0.139,0.059,0.723,0.03,710,2,26.3,0.044,0.042,0.106,0.061,0.737,0.011,739,2,12.4,0.008,0.018,0.05,0.043,0.876,0.005
YIR010W,DSN1,dsn1-7,TSA435,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIR010W,DSN1,dsn1-7,TSA435,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIR010W,DSN1,dsn1-8,TSA436,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIR010W,DSN1,dsn1-8,TSA436,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJL019W,MPS3,mps3-1,TSA437,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJL019W,MPS3,mps3-1,TSA437,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJR112W,NNF1,nnf1-17,TSA438,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJR112W,NNF1,nnf1-17,TSA438,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJR112W,NNF1,nnf1-48,TSA439,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YJR112W,NNF1,nnf1-48,TSA439,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR170C,SEC7,sec7-1,TSA44,37,2743,2,53.3,0.005,0.233,0,0.252,0.04,0.002,0.467,0,428,2,97.4,0.005,0.893,0.058,0.026,0.019,1067,2,90.5,0.072,0.01,0.779,0.038,0.095,0.006,1318,2,91.7,0.45,0.088,0.005,0.36,0.083,0.013
YDR170C,SEC7,sec7-1,TSA44,RT,1011,1,16.3,0.003,0.048,0.002,0.071,0.032,0.007,0.837,0,345,2,20.3,0.07,0.075,0.032,0.797,0.026,1048,2,20.5,0.032,0.083,0.06,0.027,0.795,0.003,1024,2,15.5,0.006,0.032,0.042,0.071,0.845,0.004
YJR112W,NNF1,nnf1-77,TSA440,37,2663,2,9.3,0.007,0.002,0.005,0.021,0.056,0.003,0.907,0,784,2,15.1,0.056,0.059,0.015,0.849,0.02,2126,2,47.4,0.021,0.062,0.352,0.031,0.526,0.007,2295,2,31.1,0.027,0.007,0.075,0.194,0.689,0.008
YJR112W,NNF1,nnf1-77,TSA440,RT,2158,2,6.6,0.006,0.009,0.006,0.021,0.024,0,0.934,0,342,2,19.6,0.023,0.105,0.05,0.804,0.018,1469,2,26.8,0.033,0.111,0.102,0.017,0.732,0.005,1579,2,17.2,0.007,0.026,0.06,0.077,0.828,0.003
YDL058W,USO1,uso1-1,TSA441,37,1994,2,54.5,0.014,0.505,0,0.011,0.013,0.003,0.455,0,1062,2,25.1,0.051,0.185,0.005,0.749,0.01,1381,2,91,0.033,0.348,0.518,0.004,0.09,0.007,1220,3,87.6,0.195,0.043,0.067,0.543,0.124,0.027
YDL058W,USO1,uso1-1,TSA441,RT,2225,2,7,0.007,0.011,0.002,0.021,0.028,0.001,0.93,0,736,2,22.3,0.061,0.113,0.027,0.777,0.022,1397,2,33.1,0.034,0.112,0.155,0.022,0.669,0.007,795,2,16.6,0.004,0.024,0.078,0.057,0.834,0.004
YNL062C,GCD10,gcd10-506,TSA442,37,2582,2,10.4,0.006,0.004,0.005,0.017,0.07,0.001,0.896,0,1312,2,21,0.014,0.143,0.026,0.79,0.027,1741,2,58,0.027,0.066,0.454,0.024,0.42,0.009,2204,2,27.8,0.002,0.029,0.031,0.209,0.722,0.007
YNL062C,GCD10,gcd10-506,TSA442,RT,1665,2,8.6,0.013,0.014,0,0.018,0.04,0.001,0.914,0,480,2,22.3,0.01,0.127,0.035,0.777,0.05,1071,2,19.1,0.035,0.063,0.077,0.009,0.809,0.007,1264,2,11.9,0.007,0.044,0.034,0.032,0.881,0.002
YGL075C,MPS2,mps2-1,TSA443,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL075C,MPS2,mps2-1,TSA443,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL093W,SPC105,spc105-15,TSA446,37,2876,2,9.7,0.008,0.01,0.01,0.019,0.048,0.002,0.903,0,160,2,58.1,0.044,0.419,0.075,0.419,0.044,1939,2,42.5,0.034,0.041,0.309,0.031,0.575,0.01,1572,2,30.4,0.013,0.047,0.028,0.205,0.696,0.011
YGL093W,SPC105,spc105-15,TSA446,RT,2069,2,6.6,0.005,0.009,0.008,0.017,0.027,0,0.934,0,177,2,34.5,0.068,0.209,0.051,0.655,0.017,1543,2,24.8,0.027,0.095,0.1,0.017,0.752,0.009,956,2,19,0.004,0.036,0.05,0.096,0.81,0.004
YGR103W,NOP7,nop7-1,TSA447,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGR103W,NOP7,nop7-1,TSA447,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR212W,TCP1,tcp1-2,TSA448,37,1487,2,18,0.011,0.002,0.001,0.023,0.125,0.017,0.82,0,1174,2,11.1,0.044,0.056,0.007,0.889,0.003,666,2,77.3,0.104,0.008,0.113,0.541,0.227,0.009,1142,3,69.6,0.032,0.01,0.347,0.292,0.304,0.016
YDR212W,TCP1,tcp1-2,TSA448,RT,1348,2,12.3,0.011,0.001,0.025,0.027,0.052,0.006,0.877,0,584,2,16.6,0.033,0.084,0.024,0.834,0.026,661,2,40.2,0.091,0.05,0.101,0.147,0.598,0.014,779,3,48.5,0.014,0.012,0.135,0.321,0.515,0.004
