Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YMR286W,MRPL33,,DMA-SLOW336,,1397,2,22.9,0.009,0.002,0.165,0.024,0.024,0.005,0.771,0.001,1595,2,27.8,0.107,0.129,0.019,0.722,0.023,1139,2,20.1,0.032,0.05,0.068,0.046,0.799,0.004,1470,2,32.7,0.01,0.278,0.016,0.02,0.673,0.004
YNR052C,POP2,,DMA-SLOW337,,36,1,63.9,0.028,0,0.417,0.083,0.083,0.028,0.361,0,,,,,,,,,138,2,71,0.058,0.043,0.174,0.435,0.29,0,40,2,85,0.075,0.075,0.325,0.375,0.15,0
YNR037C,RSM19,,DMA-SLOW338,,204,2,30.9,0.01,0,0,0.098,0.191,0.01,0.691,0,340,2,32.4,0.05,0.268,0.003,0.676,0.003,96,2,45.8,0.073,0.042,0.302,0.042,0.542,0,150,2,32.7,0.013,0.08,0.06,0.167,0.673,0.007
YNR036C,MRPS12,,DMA-SLOW339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR120C,CBP6,,DMA-SLOW34,,2140,2,10.1,0.005,0.007,0.008,0.033,0.046,0.002,0.899,0,921,2,23,0.072,0.116,0.028,0.77,0.014,959,2,29.4,0.029,0.115,0.129,0.013,0.706,0.008,1206,2,19.1,0.009,0.036,0.06,0.082,0.809,0.004
YNL276C,,,DMA-SLOW340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL266W,,,DMA-SLOW342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL264C,PDR17,,DMA-SLOW343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL252C,MRPL17,,DMA-SLOW344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL250W,RAD50,,DMA-SLOW345,,312,2,36.9,0.013,0,0.022,0.026,0.301,0.006,0.631,0,220,2,33.2,0.032,0.236,0.036,0.668,0.027,252,2,60.7,0.012,0.25,0.337,0.008,0.393,0,226,2,49.1,0.027,0.018,0.058,0.385,0.509,0.004
